Date,Day,Location,Main Activity / Focus,Time/Outline,"Hotel, Address, Directions",Confirmation numbers,Guidance Level,Time Notes,Link to Tour
3/7/2026,Fri,Tokyo,"Arrival, Check-in, Easy Dinner","Transport to hotel? Haneda Airport
Take the airport limousine bus and get off at ""Busta Shinjuku"" (approximately 50 minutes), then walk for approximately 14 minutes to the hotel
Check in after 3pm to 10pm
Dinner options close to us:","&Here Shinjuku,  2 Chome-15-14-2 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan","&here: 5464976388, pin 5562",Travel Guide Day,Arrival Tokyo 3:20 PM,Blaalid and Rowles Family - Japan Adventure Plan.pdf
3/8/2026,Sat,Tokyo,Tokyo (First full day),"Morning:
Breakfast: market or 711?
Asakusa
-Senso-j Temple
-Kaminarimon gate
-Nakamise-Dori
-Azumabashi Bridge

Late morning:
-Tokyo skytree and solamachi mall

Afternoon:
Ueno
-Lunch here
-Ueno Park
-Ameyoko Market
-Tools Ochanomizu (art supply store?)
-Tokyo national museum?

Evening:
Akihabara
-Dinner here
-Animal cafe: microteacup cafe or bunny cafe
-Capsule store, manga store, gaming store

",,,Self Guided Tour ,(Mico's route + notes),Tokyo Day 1 - Blaalid & Rowless Family.pdf
9/3/2026,Sun,Tokyo,Tokyo (Big 3 Attractions),"Morning:
Harajuku
-Breakfast: Tsukiji Outer Market (is this in Harajuku?)
-Meiji Jingu Shrine
-Takeshita Street (shopping and snacks)
-Hedgehog cafe/mini pig cafe/Kawai cafe

Afternoon
Shibuya
-Shibuya crossing
-Nintendo and Pokemon Stores
-Hachiko statue

Late afternoon/Early evening:
-Nonbei Yokucho (Drunkard's Alley- go when lanterns turn on, is this still Shibuya?)
-Dinner here:

Evening:

Shinjuku
-Kabukicho (Neon Area: restaurants/bars/karoke/shopping)
-Godzilla Rd (Hotel Gracery)
-Walk through Omoide Yokucho Alley for a drink and skewer
-Golden Gai (adult only?)


",,,Self Guided Tour ,(Mico's route + notes),Tokyo Day 2 - Blaalid & Rowless Family.pdf
3/10/2026,Mon,Tokyo,Tsukiji Market + Imperial Area,"Morning
Which district?
Breakfast before we leave or local district?
-Imperial Palace
-Ninomaru Garden

Late morning or afternoon:
-Take train to Abiko?
-Stop at Yanaka Ginza (shopping area)
-Bird cafe or cat cafe
-Lunch at Tayori (recommended by Mico!)
-Rikugien Gardens
-Yamatane Museum of art?
-Yebisu Garden place (beer museum/shopping)

Evening:
-Which district?
-Back to Skytree (unless we do this day 1?)
-Dinner: Ebisu Yokocho (local area with izakayas and one of the best ramen bowls in Japan at Afuri Ramen)

",,,Self Guided Tour ,(Mico's route + notes),Tokyo Day 3 - Blaalid & Rowless Family.pdf
3/11/2026,Tue,Tokyo,Cooking Class + Ghibli Museum + Team Labs 12-12:30,"Morning:
District?
-Breakfast:
-Ghibli Museum?
-Eye glasses for Angie


Afternoon:
District?
-Early lunch
-12-12:30 entrance for Team Labs

Evening:
Dinner?","Team Labs, Azabudai Hills Garden Plaza B B1
5-9, Toranomon, Minato-ku, Tokyo
","Team Labs: Ticket # Blaalids:AYKYXUUTXUJ7-0001
Ticket # rowles:  AAUTXAPVAFMF-0001
",Travel Guide Day,Logistics support (Mico),
3/12/2026,Wed,Tokyo → Hakone,"Check out Tokyo, Travel to Hakone, Check in","Check out of &here by 11am
Timing for leaving Tokyo and check in time?
Free pick up from Takumino? Need to arrange
Breakfast, lunch, dinner plans","Takumino yado yoshimatsu, 521 Hakone, Ashigarashimo District, Kanagawa 250-0521, Japan","Blaalid family
-Confirmation code: XEVXZWUZ, transaction number 0014757894
Rowles family (Booking under Matthew Rowles)
-Confirmation code: 9SPM1U1T, transaction number 0014757990
",Travel Guide Day,Mico supports logistics/timing,
3/13/2026,Thu,Hakone,Hakone (Full day exploration),"Morning:
Breakfast: Takumino?
Walk to Gora station/transfer to Sounzan station
-Stop 1: Owakudani (Hell Valley) - take 30 min walk to vents, eat the black egg
-Stop 2: Togendai: Lake cruise
-Stop 3: Hakone Shrine
-Stop 4: Hakone Open Air Museum

Lunch: Bring with us or purchase somewhere?
Dinner: Back at Yakumino? Is there a time we have to be back to eat?

",,,Self Guided Tour ,(Mico's route + notes),Hakone Guide - Blaalid & Rowless Family.pdf
3/14/2026,Fri,Hakone → Kyoto,"Check out Hakone, Travel to Kyoto, Check in, Rest Day","Morning:
Breakfast: at Takumino?
Check out time and travel time?

Afternoon:
-Arrive in Kyoto 
-Lunch here:
-3pm until 7pm check in a Fujinoma Machiya House - keys can be found in Kyoto Station
-Need to pay for this accomodation yet

Evening:
-Dinner?
-","Fujinoma Machiya House, 476-11 Tenshitsukinuke 4chome, Shimogyo Ward, Kyoto, 600-8456, Japan","Fujinoma: 6306540803, pin 5278 ",Travel Guide Day,Mico supports logistics/timing,
3/15/2026,Sat,Kyoto,Kyoto Main Tour,"Meet Mico!

Morning:
-Breakfast option:
-Meet time and location with Mico?",,,Tour with Mico,Full day tour,
3/16/2026,Sun,Kyoto,Arashiyama,"Morning:
Breakfast:?
-Togetsukyo Bridge
-Iwatayama Monkey park and snacks
-Kimono Forest

Late morning:
-Bamboo Grove
-Tenryu-Ji (UNESCO landscape garden)

Lunch: in Arashiyama? Timing?

Afternoon:
-2 hour Rickshaw Ride (does this include Jojakku- ji Temple, Gioji temple and Adashino nenbutsu-ji?)

2pm: Leave for Golden pavillion? Or do we do this at sunset or the next morning? Many things packed into this day, how do we arrange?

Evening: walk through Pontocho Alley/walk
",,,Self Guided Tour ,SGT (Mico's route + notes),Kyoto Day 1 - Blaalid & Rowless Family.pdf
3/17/2026,Mon,Kyoto → Osaka,"Check out Kyoto, Travel to Osaka, Check in","Morning:
Breakfast:?
-checkout of Fujinoma House by 10am
-Visit anything else in Kyoto we missed this morning?

Travel to Osaka: Time?
-3pm-10pm: Check in at Mimaru East



Dinner: 
-Dotonbori","Mimaru Osaka East, 1 Chome-7-9 Higashishinsaibashi, Chuo Ward, Osaka, 542-0083, Japan",Mimaru: #3270244 and # 0642735,Travel Guide Day,Includes food recommendations,Osaka Full Day recap - Blaalid & Rowless Family.pdf
3/18/2026,Tue,Osaka,Osaka City Tour,"Food and culture day with Mico
Morning:
-Breakfast:?
-Time and location to meet Mico",,,Tour with Mico,Full day tour,
3/19/2026,Wed,Osaka + Shaga forest,Kyoto Mountain Day Trip,"Kayabuki no Sato, Shaga Forest, Ine Village, and Amanohashidate

Morning:
-Breakfast:?
-Time and location to meet Mico",,,Tour with Mico,Full day tour with vehicle,
3/20/2026,Thu,Osaka,Nara Deer Park + Sumo Viewing Day on Emma's Birthday!,"Morning:
-Breakfast:?

-Morning/afternoon:
-Deer park


Afternoon
-3-6pm Sumo 

Birthday dinner for Emma and last dinner in Japan",,,Nara + Sumo Day,Mico assists with tickets/venue timing,
3/21/2026,Fri,Departure,"Travel to Tokyo, Departure","Morning:
-Breakfast:?

-Checkout of Mimaru by 11am

Afternoon:
-Train to Tokyo: arrive to airport by 1pm? Leave Osaka at ?",,,Travel Guide Day,Departure 5:20 PM (Tokyo),